feature_name,num_sources,num_numeric_sources,num_discrete_sources,discretizer_in_use,normalizer_in_use,group_in_use,binary_in_use,max_discrete_source_value,min_discrete_source_value,avg_discrete_source_value,std_discrete_source_value,max_chi_source_opattr_value,min_chi_source_opattr_value,avg_chi_source_opattr_value,std_chi_source_opattr_value,max_numeric_source_value,min_numeric_source_value,avg_numeric_source_value,std_numeric_source_value,max_ttest_source_opattr_value,min_ttest_source_opattr_value,avg_ttest_source_opattr_value,std_ttest_source_opattr_value,cp_data_group_2_avg_t,cp_data_group_2_std_t,cp_data_group_2_max_t,cp_data_group_2_min_t,feat_mutual_info
hospital_number_norm_group_by_hospital_number_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,0.9999999999999999,0.0,0.1256254722515531,0.3282259417954004,2.598552207029986e-13,2.598552207029986e-13,2.598552207029986e-13,0.0,-5.830301142747315,5.618204614653706,5.519989535302968,-22.47719774684481,0.005339555162183435
rectal_temp_norm_group_by_hospital_number_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,417.99999999999994,417.99999999999994,417.99999999999994,0.0,1.0,0.0,0.19623525615199716,0.3970692362060765,1.903251919175292e-15,1.903251919175292e-15,1.903251919175292e-15,0.0,-3.5608387865080986,12.117614590519002,62.51955323467255,-42.656761053958604,0.010262337937876995
abdomo_protein_norm_group_by_hospital_number_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,1.0,0.0,0.698818435660541,0.4484223194227896,-8.428363818259307e-15,-8.428363818259307e-15,-8.428363818259307e-15,0.0,17.325485290578204,40.23914656835363,306.6326088159457,-22.283877992673958,0.010262337937876995
lesion_2_norm_group_by_hospital_number_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,209.0,209.0,209.0,0.0,0.9999999999999999,0.0,0.004784688995215311,0.0690057660375883,-1.110602393515308e-16,-1.110602393515308e-16,-1.110602393515308e-16,0.0,-10.335406239540074,9.185030569787417,38.262252939417984,-48.43366498951494,0.005339555162183435
hospital_number_group_by_hospital_number_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,5305629.0,521399.0,1122420.1531100478,1570308.3975158082,-22.897270240862916,-22.897270240862916,-22.897270240862916,0.0,10.238365577681133,0.0102697596640492,10.240129677612062,10.165135640992943,0.005339555162183435
rectal_temp_group_by_hospital_number_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,35400.0,35.4,6975.181339712919,14042.194710733414,-7.127285156336851,-7.127285156336851,-7.127285156336851,0.0,597.6314255541552,173.57008033422022,969.1486163828558,-11.039060116588617,0.010262337937876995
hospital_number_norm_group_by_hospital_number_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,0.9999999999999999,0.0,0.1256254722515531,0.3282259417954004,-22.897270240862817,-22.897270240862817,-22.897270240862817,0.0,-5.893613637267579,5.6117051867665735,5.4361576089802535,-22.477915369304345,0.005339555162183435
rectal_temp_norm_group_by_hospital_number_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,1.0,0.0,0.19623525615199716,0.3970692362060765,-7.127285156336851,-7.127285156336851,-7.127285156336851,0.0,-11.023919234666893,7.033711392720432,5.397106681313846,-48.46556580309177,0.010262337937876995
hospital_number_group_by_hospital_number_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,5305629.0,521399.0,1122420.1531100478,1570308.3975158082,15.110669982664946,15.110669982664946,15.110669982664946,0.0,10.339673523078618,0.01022335044195646,10.341429226290032,10.26675647062355,0.005339555162183435
lesion_1_group_by_hospital_number_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,417.99999999999994,417.99999999999994,417.99999999999994,0.0,41110.0,0.0,3476.468899521531,5361.325361941072,57.131207923032264,57.131207923032264,57.131207923032264,0.0,76.91570614293951,12.806528013815964,79.1800625059439,-9.911505135974064,0.010262337937876995
lesion_2_group_by_hospital_number_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,209.0,209.0,209.0,0.0,3111.0,0.0,14.885167464114833,214.6769381429372,37.44427959080097,37.44427959080097,37.44427959080097,0.0,36.084551292064376,9.501505319477172,38.26225293941798,-10.276921394487255,0.005339555162183435
hospital_number_norm_group_by_hospital_number_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,0.9999999999999999,0.0,0.1256254722515531,0.3282259417954004,15.110669982664957,15.110669982664957,15.110669982664957,0.0,-5.792918699668035,5.620788879603992,5.564576162797069,-22.47678855781371,0.005339555162183435
lesion_1_norm_group_by_hospital_number_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,417.99999999999994,417.99999999999994,417.99999999999994,0.0,1.0,0.0,0.08456504255707932,0.13041414161861037,57.13120792303227,57.13120792303227,57.13120792303227,0.0,18.922984550780765,16.766791127187567,79.17967434411501,-22.199911083371376,0.010262337937876995
lesion_2_norm_group_by_hospital_number_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,209.0,209.0,209.0,0.0,0.9999999999999999,0.0,0.004784688995215311,0.0690057660375883,37.444279590800974,37.444279590800974,37.444279590800974,0.0,13.131961895505404,10.87386418533743,38.26225293941798,-22.21466481799729,0.005339555162183435
hospital_number_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,5305629.0,521399.0,1122420.1531100478,1570308.3975158082,5.766760088495033e-16,5.766760088495033e-16,5.766760088495033e-16,0.0,90.89354990064149,0.9143656762496268,91.02182971709188,83.83662864815406,0.016111956141430576
rectal_temp_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,35400.0,35.4,6975.181339712919,14042.194710733414,8.747911767506627e-14,8.747911767506627e-14,8.747911767506627e-14,0.0,6.816884991948332,2.250273323144119,7.163944070297358,-10.233828731997205,0.01611195614143058
abdomo_protein_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,100.0,0.1,69.91196172248804,44.79738971033669,3.0018128172321273e-15,3.0018128172321273e-15,3.0018128172321273e-15,0.0,470.462789441045,127.02159821180948,527.2506448310346,-10.308015373084343,0.01611195614143058
lesion_1_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,41110.0,0.0,3476.468899521531,5361.325361941072,-6.593125710014821e-16,-6.593125710014821e-16,-6.593125710014821e-16,0.0,84.41500299672714,16.846349362607715,87.59105941068005,-10.276304976157313,0.01611195614143058
lesion_2_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,3111.0,0.0,14.885167464114833,214.6769381429372,7.381772018120918e-17,7.381772018120918e-17,7.381772018120918e-17,0.0,5.814777026191096,4.371243627561037,7.124738925876846,-15.004684205318702,0.01611195614143058
hospital_number_norm_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,0.9999999999999999,0.0,0.1256254722515531,0.3282259417954004,8.457236956311136e-16,8.457236956311136e-16,8.457236956311136e-16,0.0,-6.062650277564715,10.305876798342831,48.73935137998876,-40.90051197102544,0.016111956141430576
rectal_temp_norm_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,1.0,0.0,0.19623525615199716,0.3970692362060765,-1.5074046439470907e-14,-1.5074046439470907e-14,-1.5074046439470907e-14,0.0,-4.007473824286435,5.836097686031237,7.127585966300145,-22.73357725946932,0.01611195614143058
abdomo_protein_norm_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,1.0,0.0,0.698818435660541,0.4484223194227896,-1.8468954634854515e-15,-1.8468954634854515e-15,-1.8468954634854515e-15,0.0,20.801327353678214,65.58351788487131,517.3802178990939,-22.283104372192764,0.01611195614143058
lesion_1_norm_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,1.0,0.0,0.08456504255707932,0.13041414161861037,3.5449663165114396e-16,3.5449663165114396e-16,3.5449663165114396e-16,0.0,-6.846245468832292,14.138330139952988,87.58393822771859,-44.18132760983575,0.01611195614143058
lesion_2_norm_group_by_rectal_temp_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,0.9999999999999999,0.0,0.004784688995215311,0.0690057660375883,1.121322888104208e-16,1.121322888104208e-16,1.121322888104208e-16,0.0,-10.83720031480584,7.138596474011288,7.124738925876849,-48.362085576873135,0.01611195614143058
hospital_number_group_by_rectal_temp_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,5305629.0,521399.0,1122420.1531100478,1570308.3975158082,-5.507958693358432,-5.507958693358432,-5.507958693358432,0.0,3029.909806407305,381.9014773836999,3125.3809917459216,640.5240069879504,0.01611195614143058
rectal_temp_group_by_rectal_temp_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,35400.0,35.4,6975.181339712919,14042.194710733414,-24.968159251725396,-24.968159251725396,-24.968159251725396,0.0,6.8140878392825215,2.2499123885547063,7.161094172113372,-10.233848300464976,0.01611195614143058
abdomo_protein_group_by_rectal_temp_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,100.0,0.1,69.91196172248804,44.79738971033669,-22.42568976823972,-22.42568976823972,-22.42568976823972,0.0,-1.811214177042477,5.970314714204695,11.16016016031658,-21.686754581392787,0.01611195614143058
hospital_number_norm_group_by_rectal_temp_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,0.9999999999999999,0.0,0.1256254722515531,0.3282259417954004,-5.507958693358431,-5.507958693358431,-5.507958693358431,0.0,-10.988110153492965,7.103992093398533,7.124738925876847,-48.4642467835659,0.01611195614143058
rectal_temp_norm_group_by_rectal_temp_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,1.0,0.0,0.19623525615199716,0.3970692362060765,-24.968159251725396,-24.968159251725396,-24.968159251725396,0.0,-4.0088564355776475,5.835661837391169,7.124738925876846,-22.734317050494337,0.01611195614143058
abdomo_protein_norm_group_by_rectal_temp_disc_and_min,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,1.0,0.0,0.698818435660541,0.4484223194227896,-22.425689768239714,-22.425689768239714,-22.425689768239714,0.0,-10.938171791759036,7.115967076354274,7.124738925876848,-48.436191510838164,0.01611195614143058
hospital_number_group_by_rectal_temp_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,5305629.0,521399.0,1122420.1531100478,1570308.3975158082,38.41678579008159,38.41678579008159,38.41678579008159,0.0,42532.01483293209,6222.133921664625,43690.32855309215,4837.828451054344,0.016111956141430576
rectal_temp_group_by_rectal_temp_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,35400.0,35.4,6975.181339712919,14042.194710733414,22.91566167300825,22.91566167300825,22.91566167300825,0.0,6.819032555677417,2.250550438304414,7.16613213082468,-10.233813710030603,0.01611195614143058
lesion_1_group_by_rectal_temp_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,41110.0,0.0,3476.468899521531,5361.325361941072,67.51609854838776,67.51609854838776,67.51609854838776,0.0,116.62982206586825,19.43319845085155,120.80080438341996,-10.002021701532335,0.01611195614143058
lesion_2_group_by_rectal_temp_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,3111.0,0.0,14.885167464114833,214.6769381429372,7.0164641544562345,7.0164641544562345,7.0164641544562345,0.0,6.344687067637438,3.366034839808076,7.124738925876847,-10.302132746229923,0.01611195614143058
hospital_number_norm_group_by_rectal_temp_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,0.9999999999999999,0.0,0.1256254722515531,0.3282259417954004,38.41678579008159,38.41678579008159,38.41678579008159,0.0,658.029541843872,4959.6344548758525,39393.65757218743,-22.18577259698081,0.016111956141430576
rectal_temp_norm_group_by_rectal_temp_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,1.0,0.0,0.19623525615199716,0.3970692362060765,22.91566167300824,22.91566167300824,22.91566167300824,0.0,-4.006412365473205,5.836432327727153,7.129771832729529,-22.733009270389704,0.01611195614143058
lesion_1_norm_group_by_rectal_temp_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,1.0,0.0,0.08456504255707932,0.13041414161861037,67.51609854838776,67.51609854838776,67.51609854838776,0.0,17.02473377518693,20.811726280810337,120.11249806895486,-22.25070465718552,0.01611195614143058
lesion_2_norm_group_by_rectal_temp_disc_and_max,2,1,1,False,False,True,False,11.0,1.0,2.9617224880382773,3.971003621291183,202.70649666798357,202.70649666798357,202.70649666798357,0.0,0.9999999999999999,0.0,0.004784688995215311,0.0690057660375883,7.016464154456233,7.016464154456233,7.016464154456233,0.0,-4.008856435577648,5.835661837391169,7.124738925876844,-22.73431705049434,0.01611195614143058
hospital_number_x_rectal_temp_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,35.4,564697.6672248804,1242613.051006793,10.308658913254469,7.1639439543652355,8.736301433809853,1.5723574794446167,10.382284124234122,0.004031711820038587,10.382825993148765,10.351322357800049,0.005339555162183435
hospital_number_x_rectal_temp_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,35.4,564697.6672248804,1242613.051006793,10.158359507571868,-7.1639439543652355,1.4972077766033163,8.661151730968552,10.233287912557481,0.004033003879504136,10.233829957000847,10.202316218625688,0.005339555162183435
hospital_number_x_rectal_temp_op_mul,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,35.4,564697.6672248804,1242613.051006793,3.9819284861425936,3.9811523920137697,3.9815404390781817,0.0003880470644119782,3.981932047199125,3.278302769760086e-07,3.981932091162434,3.9819295296197788,0.013725354071104128
hospital_number_x_rectal_temp_op_div,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,35.4,564697.6672248804,1242613.051006793,5.649295722395975,-10.326642037205454,-2.3386731574047395,7.9879688798007145,8.96679490311448,0.16598627188367515,8.989065398624028,7.692065987087787,0.007611665606534688
hospital_number_x_abdomo_protein_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.1,561245.0325358851,1244126.902132239,22.50766523572934,10.308658913254469,16.408162074491905,6.099503161237436,10.307503902714947,0.010330093446703425,10.309282659147794,10.234452363762472,0.005339555162183435
hospital_number_x_abdomo_protein_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.1,561245.0325358851,1244126.902132239,10.30741235210366,-22.50766523572934,-6.100126441812841,16.4075387939165,10.306257371716137,0.010330014510478953,10.308036119118794,10.233206595429063,0.005339555162183435
hospital_number_x_lesion_1_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,562948.3110047847,1243365.330732608,10.308658913254469,9.351856885061414,9.830257899157942,0.47840101409652735,10.338782132530897,0.009577193313579271,10.340046029147658,10.26522100750747,0.005339555162183435
hospital_number_x_lesion_1_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,562948.3110047847,1243365.330732608,10.245517501991175,-9.351856885061414,0.4468303084648806,9.798687193526295,10.27588564894045,0.009578274834906166,10.277149686086474,10.202316218625688,0.005339555162183435
hospital_number_x_lesion_1_op_mul,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,562948.3110047847,1243365.330732608,5.694123453582565,5.69303713700538,5.693580295293972,0.0005431582885924158,5.6941267633738715,1.3093888346828338e-06,5.69412693633245,5.694116706236662,0.03221212937551504
hospital_number_x_lesion_2_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561217.519138756,1244139.3214080737,10.308658913254469,1.0000000000000002,5.654329456627234,4.654329456627234,10.307046399632803,0.010328897390784759,10.308832627078461,10.234003984836178,0.005339555162183435
hospital_number_x_lesion_2_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561217.519138756,1244139.3214080737,10.308311874141639,-1.0000000000000002,4.654155937070819,5.654155937070819,10.306699699120093,0.010329201705738462,10.30848597051576,10.233654795463274,0.005339555162183435
hospital_number_x_lesion_3_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.0765550239,1244142.6693435237,,,,,10.306870254609139,0.010328573806985404,10.308659394448956,10.233829484862651,0.005339555162183435
hospital_number_x_lesion_3_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.0765550239,1244142.6693435237,,,,,10.306870254609139,0.010328573806985404,10.308659394448956,10.233829484862651,0.005339555162183435
hospital_number_x_hospital_number_norm_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.13936776,1244142.6410098665,10.308658913254469,5.519966877006865,7.914312895130667,2.394346018123802,10.306898576335232,0.010246078999210819,10.30865839351629,10.23382850069077,0.005339555162183435
hospital_number_x_hospital_number_norm_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.13936776,1244142.6410098665,10.308660915120614,-5.519966877006865,2.3943470190568745,7.914313896063739,10.306900577429216,0.010246083541614423,10.30866039538204,10.233830469034944,0.005339555162183435
hospital_number_x_hospital_number_norm_op_mul,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.13936776,1244142.6410098665,5.444513879863179,-39.8693129842578,-17.21239955219731,22.65691343206049,5.442998267560626,0.008723360800505175,5.4445138941095985,5.3815700009089324,0.005339555162183435
hospital_number_x_rectal_temp_norm_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.174672652,1244142.6250844852,10.308658913254469,7.127585958136027,8.718122435695248,1.5905364775592208,10.306901674667598,0.010246079107968709,10.308661491929824,10.233831600782304,0.005339555162183435
hospital_number_x_rectal_temp_norm_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.174672652,1244142.6250844852,10.308654718291644,-7.127585958136027,1.5905343800778082,8.718120338213836,10.306897479095905,0.010246083432853647,10.308657296967557,10.233827368942485,0.005339555162183435
hospital_number_x_rectal_temp_norm_op_mul,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.174672652,1244142.6250844852,3.9542977692449117,-8.947583955837967,-2.4966430932965276,6.450940862541439,3.9506259866676654,0.02004163727875531,3.9543013590519895,3.8236609523698166,0.014866054210201334
hospital_number_x_abdomo_protein_norm_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.4259642417,1244142.511731475,22.475470936947826,10.308658913254469,16.392064925101145,6.083406011846678,10.30690580658449,0.010246081661358616,10.308665624194001,10.233835710755024,0.005339555162183435
hospital_number_x_abdomo_protein_norm_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.4259642417,1244142.511731475,10.308646453762574,-22.475470936947826,-6.083412241592626,16.3920586953552,10.306893347178477,0.010246080879464856,10.308653164702847,10.233823258969222,0.005339555162183435
hospital_number_x_abdomo_protein_norm_op_mul,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.4259642417,1244142.511731475,8.14735431507718,-4.874958815330702,1.6361977498732392,6.511156565203941,8.145534198232298,0.010598357137901793,8.147360266903064,8.070246969131135,0.022324455477308516
hospital_number_x_lesion_1_norm_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.1188375453,1244142.6502706532,10.308658913254469,9.35185688476697,9.83025789901072,0.47840101424374915,10.306900341913042,0.010246081116518759,10.308660159429436,10.233830249945855,0.005339555162183435
hospital_number_x_lesion_1_norm_op_sub,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.1188375453,1244142.6502706532,10.308657383293456,-9.35185688476697,0.47840024926324265,9.830257134030212,10.306898811850917,0.01024608142430606,10.308658629468402,10.233828719779371,0.005339555162183435
hospital_number_x_lesion_1_norm_op_mul,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.1188375453,1244142.6502706532,5.694123453582565,-10.237998973685803,-2.2719377600516193,7.966061213634184,5.684623630839238,0.05709704883848512,5.694126936332449,5.266194285213093,0.03221212937551504
hospital_number_x_lesion_2_norm_op_sum,2,2,0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,0.0,561210.0789473684,1244142.6682643818,10.308658913254469,1.0,5.654329456627234,4.654329456627234,10.306899632604612,0.01024608122205326,10.3086594501636,10.233829540984365,0.005339555162183435
